ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION
2025,Z239,Defend and Advance - NY I.E.,OTHR,3425,U.S. Hwy 98 N,,Lakeland,FL,33809,40,7043,Social Media Content,10/7/2025,INTAD,Internet - Display/Banner,2750,2899,"Mamdani, Zohran K",1,,2750.0000,Support
2025,Z239,Defend and Advance - NY I.E.,OTHR,3425,U.S. Hwy 98 N,,Lakeland,FL,33809,GD,7045,Support Zohran Buttons,10/10/2025,BUTTON,Button / Pen / Shirt,434,2899,"Mamdani, Zohran K",1,,434.1800,Support
2025,Z239,Defend and Advance - NY I.E.,OTHR,3425,U.S. Hwy 98 N,,Lakeland,FL,33809,GD,7346,Text Banking,10/26/2025,TEXT,Text Messages,1909,2899,"Mamdani, Zohran K",1,,1908.5200,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,41,7110,10/17 Text Message,10/17/2025,TEXT,Text Messages,750000,2899,"Mamdani, Zohran K",1,,750000.0000,Oppose
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7284,10/27 Text Messages,10/27/2025,TEXT,Text Messages,250000,2993,"Cuomo, Andrew M",1,,125000.0000,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7284,10/27 Text Messages,10/27/2025,TEXT,Text Messages,250000,2899,"Mamdani, Zohran K",1,,125000.0000,Oppose
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7442,Palm Cards,11/2/2025,LITER,Leaflet/Flyer,30000,2993,"Cuomo, Andrew M",1,,30000.0000,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7332,Text Messages,10/28/2025,TEXT,Text Messages,1000000,2993,"Cuomo, Andrew M",1,,500000.0000,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7332,Text Messages,10/28/2025,TEXT,Text Messages,1000000,2899,"Mamdani, Zohran K",1,,500000.0000,Oppose
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7365,Text Messages,10/30/2025,TEXT,Text Messages,1000000,2993,"Cuomo, Andrew M",1,,1000000.0000,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7429,Text Messages,11/2/2025,TEXT,Text Messages,1000000,2993,"Cuomo, Andrew M",1,,333333.3400,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7429,Text Messages,11/2/2025,TEXT,Text Messages,1000000,2899,"Mamdani, Zohran K",1,,333333.3300,Oppose
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7429,Text Messages,11/2/2025,TEXT,Text Messages,1000000,2618,"Sliwa, Curtis A",1,,333333.3300,Oppose
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7471,Text Messages,11/3/2025,TEXT,Text Messages,1000000,2993,"Cuomo, Andrew M",1,,500000.0000,Support
2025,Z250,Defend NYC,OTHR,7,Park Avenue,16A,New York,NY,10016,GD,7471,Text Messages,11/3/2025,TEXT,Text Messages,1000000,2899,"Mamdani, Zohran K",1,,500000.0000,Oppose
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,23,5715,Cuomo Literature Distribution,6/6/2025,LITER,Leaflet/Flyer,18983,2993,"Cuomo, Andrew M",1,,18983.1900,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,23,5732,Cuomo phone banking english,5/21/2025,PHONE,Phone Calls - Live,3697,2993,"Cuomo, Andrew M",1,,3697.2400,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,PD,6636,Cuomo phone banking GOTV,6/23/2025,PHONE,Phone Calls - Live,170,2993,"Cuomo, Andrew M",1,,169.6100,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,23,5734,Cuomo phone banking spanish,5/21/2025,PHONE,Phone Calls - Live,3697,2993,"Cuomo, Andrew M",1,,3697.2400,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,40,7053,Mamdani phone banking,10/9/2025,PHONE,Phone Calls - Live,10332,2899,"Mamdani, Zohran K",1,,10332.2400,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,40,7058,Mamdani Robo Calls,10/6/2025,ROBO,Robo Call,750,2899,"Mamdani, Zohran K",1,,750.0000,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,39,7030,Zohran Palm Cards,9/29/2025,LITER,Leaflet/Flyer,35714,2899,"Mamdani, Zohran K",1,,35714.3200,Support
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,39,7003,Zohran Static Ad Placement,9/30/2025,INTAD,Internet - Display/Banner,55362,2899,"Mamdani, Zohran K",1,,55362.1600,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,33,6866,AD PLACEMENTS,8/19/2025,OTHER,Other,17050,1545,"Adams, Eric L",1,,17050.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6905,AD PLACEMENTS,8/25/2025,INTAD,Internet - Display/Banner,2000,1545,"Adams, Eric L",1,,2000.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6868,AD PRODUCTION + AD PLACEMENT,8/14/2025,INTVID,Video (Internet),20000,1545,"Adams, Eric L",1,,20000.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6854,BUTTONS,8/11/2025,BUTTON,Button / Pen / Shirt,825,1545,"Adams, Eric L",1,,825.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,33,6867,DIGITAL AD PRODUCTION + DISTRIBUTION,8/18/2025,INTVID,Video (Internet),105000,1545,"Adams, Eric L",1,,105000.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6855,DOOR HANGER,8/11/2025,LITER,Leaflet/Flyer,10500,1545,"Adams, Eric L",1,,10500.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6901,DOOR HANGER,8/26/2025,LITER,Leaflet/Flyer,1400,1545,"Adams, Eric L",1,,1400.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6903,DOOR HANGER,8/25/2025,LITER,Leaflet/Flyer,1675,1545,"Adams, Eric L",1,,1675.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,36,6939,EDITING,9/9/2025,INTVID,Video (Internet),4156,1545,"Adams, Eric L",1,,4156.2500,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,33,6865,FLYERS,8/19/2025,LITER,Leaflet/Flyer,2850,1545,"Adams, Eric L",1,,2850.0000,Support
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,32,6860,GRAPHIC DESIGN,8/12/2025,BUTTON,Button / Pen / Shirt,2500,1545,"Adams, Eric L",1,,2500.0000,Support
