week_start,candidate,pageviews,attention_share,canonical_name,candidate_spend,oppose_spend,support_spend,supportive_media_spend,total_media_activity,weekly_total_media_activity,media_share,attention_minus_media_share
2025-03-24,Curtis A. Sliwa,4939,0.062142982963839,,0.0,0.0,0.0,0.0,0.0,,,
2025-03-24,Eric L. Adams,11535,0.1451345026296585,,0.0,0.0,0.0,0.0,0.0,,,
2025-03-24,Zohran Kwame Mamdani,32922,0.4142278366340371,,0.0,0.0,0.0,0.0,0.0,,,
2025-03-31,Andrew M. Cuomo,25617,0.2385550920062579,,0.0,0.0,0.0,0.0,0.0,,,
2025-03-31,Curtis A. Sliwa,7373,0.0686601355881695,,0.0,0.0,0.0,0.0,0.0,,,
2025-03-31,Eric L. Adams,43566,0.4057028980108768,,0.0,0.0,0.0,0.0,0.0,,,
2025-03-31,Zohran Kwame Mamdani,30828,0.2870818743946957,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-07,Andrew M. Cuomo,20158,0.289364512007809,Andrew M. Cuomo,0.0,0.0,2279181.3,2279181.3,2279181.3,2279831.3,0.9997148911851504,-0.7103503791773415
2025-04-07,Curtis A. Sliwa,4835,0.0694055668001665,Curtis A. Sliwa,650.0,0.0,0.0,650.0,650.0,2279831.3,0.00028510881484959,0.06912045798531691
2025-04-07,Eric L. Adams,21033,0.3019249816976013,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-07,Zohran Kwame Mamdani,23637,0.3393049394944231,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-14,Andrew M. Cuomo,24033,0.3081706973046444,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-14,Curtis A. Sliwa,4247,0.0544584925499448,Curtis A. Sliwa,37.0,0.0,0.0,37.0,37.0,37.0,1.0,-0.9455415074500552
2025-04-14,Eric L. Adams,20432,0.2619957428256353,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-14,Zohran Kwame Mamdani,29274,0.3753750673197753,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-21,Andrew M. Cuomo,21735,0.3544462745225942,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-21,Curtis A. Sliwa,3699,0.0603219125585036,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-21,Eric L. Adams,13697,0.2233655680761892,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-21,Zohran Kwame Mamdani,22190,0.3618662448427129,Zohran Kwame Mamdani,155000.0,0.0,0.0,155000.0,155000.0,155000.0,1.0,-0.6381337551572871
2025-04-28,Andrew M. Cuomo,17267,0.3353466692561662,Andrew M. Cuomo,0.0,0.0,756994.33,756994.33,756994.33,943603.74,0.8022375261039131,-0.4668908568477469
2025-04-28,Curtis A. Sliwa,3446,0.0669256166245872,Curtis A. Sliwa,475.0,0.0,0.0,475.0,475.0,943603.74,0.0005033892722807563,0.06642222735230643
2025-04-28,Eric L. Adams,10885,0.2114002718974558,,0.0,0.0,0.0,0.0,0.0,,,
2025-04-28,Zohran Kwame Mamdani,19892,0.3863274422217906,Zohran Kwame Mamdani,186000.0,0.0,134.41,186134.41,186134.41,943603.74,0.19725908462380617,0.18906835759798443
2025-05-05,Andrew M. Cuomo,18753,0.2664951896431667,Andrew M. Cuomo,15902.75,0.0,0.0,15902.75,15902.75,350230.75,0.045406492719442824,0.22108869692372388
2025-05-05,Curtis A. Sliwa,4715,0.0670039363924455,Curtis A. Sliwa,638.0,0.0,0.0,638.0,638.0,350230.75,0.0018216561509804608,0.06518228024146505
2025-05-05,Eric L. Adams,12305,0.1748639315607725,,0.0,0.0,0.0,0.0,0.0,,,
2025-05-05,Zohran Kwame Mamdani,34596,0.4916369424036152,Zohran Kwame Mamdani,333690.0,0.0,0.0,333690.0,333690.0,350230.75,0.9527718511295767,-0.4611349087259615
2025-05-12,Andrew M. Cuomo,25920,0.272497897392767,Andrew M. Cuomo,172500.0,0.0,3473222.87,3645722.87,3645722.87,4347688.5200000005,0.8385427919293537,-0.5660448945365867
2025-05-12,Curtis A. Sliwa,4825,0.0507253994953742,Curtis A. Sliwa,1150.0,0.0,0.0,1150.0,1150.0,4347688.5200000005,0.00026450836915060326,0.050460891126223595
2025-05-12,Eric L. Adams,14242,0.149726661059714,,0.0,0.0,0.0,0.0,0.0,,,
2025-05-12,Zohran Kwame Mamdani,50133,0.5270500420521447,Zohran Kwame Mamdani,700000.0,0.0,815.65,700815.65,700815.65,4347688.5200000005,0.16119269970149563,0.36585734235064904
2025-05-19,Andrew M. Cuomo,30833,0.3354293360603126,Andrew M. Cuomo,196736.71,0.0,1995.0,198731.71,198731.71,1088731.71,0.1825350618289606,0.15289427423135202
2025-05-19,Curtis A. Sliwa,5002,0.0544162922509546,,0.0,0.0,0.0,0.0,0.0,,,
2025-05-19,Eric L. Adams,14147,0.1539038957365563,,0.0,0.0,0.0,0.0,0.0,,,
2025-05-19,Zohran Kwame Mamdani,41939,0.4562504759521763,Zohran Kwame Mamdani,890000.0,0.0,0.0,890000.0,890000.0,1088731.71,0.8174649381710394,-0.36121446221886305
2025-05-26,Andrew M. Cuomo,29281,0.1987685999782774,Andrew M. Cuomo,563688.53,550.98,0.0,563688.53,564239.51,898342.13,0.6280897791134431,-0.4293211791351657
2025-05-26,Curtis A. Sliwa,12433,0.0843990985120017,Curtis A. Sliwa,2176.96,0.0,0.0,2176.96,2176.96,898342.13,0.00242330836693588,0.08197579014506581
2025-05-26,Eric L. Adams,17057,0.1157882589334202,,0.0,0.0,0.0,0.0,0.0,,,
2025-05-26,Zohran Kwame Mamdani,88541,0.6010440425763006,Zohran Kwame Mamdani,330000.0,0.0,1925.66,331925.66,331925.66,898342.13,0.36948691251962096,0.23155713005667966
2025-06-02,Andrew M. Cuomo,70161,0.1552464635244604,Andrew M. Cuomo,149112.96,0.0,1583170.0,1732282.96,1732282.96,2378333.57,0.7283599667644602,-0.5731135032399999
2025-06-02,Curtis A. Sliwa,24668,0.0545833121281251,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-02,Eric L. Adams,29742,0.0658106400727541,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-02,Zohran Kwame Mamdani,327362,0.7243595842746602,Zohran Kwame Mamdani,630000.0,15000.0,1050.61,631050.61,646050.61,2378333.57,0.2716400332355398,0.45271955103912037
2025-06-09,Andrew M. Cuomo,115079,0.1737109682795098,Andrew M. Cuomo,1754920.52,149718.36,2516375.91,4271296.43,4421014.79,11218814.0,0.394071493653429,-0.22036052537391917
2025-06-09,Curtis A. Sliwa,32325,0.0487943677789618,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-09,Eric L. Adams,46256,0.0698231175865015,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-09,Zohran Kwame Mamdani,468814,0.7076715463550267,Zohran Kwame Mamdani,827150.0,5837495.220000001,133153.99,960303.99,6797799.210000001,11218814.0,0.6059285063465711,0.10174304000845558
2025-06-16,Andrew M. Cuomo,113355,0.1592149581016964,Andrew M. Cuomo,285427.89,556187.25,1928635.23,2214063.12,2770250.37,5724575.65,0.4839223969378411,-0.3247074388361447
2025-06-16,Curtis A. Sliwa,37260,0.052334253794444,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-16,Eric L. Adams,49610,0.0696806852051092,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-16,Zohran Kwame Mamdani,511737,0.7187701028987502,Zohran Kwame Mamdani,785000.0,1664332.66,504992.62,1289992.62,2954325.2800000003,5724575.65,0.5160776030621589,0.20269249983659132
2025-06-23,Andrew M. Cuomo,498601,0.0815520905164235,Andrew M. Cuomo,53145.5,11642.88,377350.0,430495.5,442138.38,443138.38,0.9977433685613059,-0.9161912780448823
2025-06-23,Curtis A. Sliwa,398766,0.0652228955153964,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-23,Eric L. Adams,386252,0.0631760828120072,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-23,Zohran Kwame Mamdani,4830277,0.7900489311561728,Zohran Kwame Mamdani,0.0,1000.0,0.0,0.0,1000.0,443138.38,0.0022566314386941616,0.7877922997174787
2025-06-30,Andrew M. Cuomo,84953,0.059393197044917,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-30,Curtis A. Sliwa,89447,0.0625350875905111,Curtis A. Sliwa,5317.92,0.0,0.0,5317.92,5317.92,5317.92,1.0,-0.9374649124094889
2025-06-30,Eric L. Adams,90542,0.0633006350198448,,0.0,0.0,0.0,0.0,0.0,,,
2025-06-30,Zohran Kwame Mamdani,1165407,0.814771080344727,,0.0,0.0,0.0,0.0,0.0,,,
2025-07-07,Andrew M. Cuomo,41989,0.0813152507973887,,0.0,0.0,0.0,0.0,0.0,,,
2025-07-07,Curtis A. Sliwa,44951,0.0870514143845631,Curtis A. Sliwa,3301.5,0.0,0.0,3301.5,3301.5,6341.82,0.5205918805642544,-0.43354046617969133
2025-07-07,Eric L. Adams,45590,0.088288891944389,,0.0,0.0,0.0,0.0,0.0,,,
2025-07-07,Zohran Kwame Mamdani,383843,0.7433444428736592,Zohran Kwame Mamdani,0.0,0.0,3040.3199999999997,3040.3199999999997,3040.3199999999997,6341.82,0.47940811943574557,0.2639363234379136
2025-07-14,Andrew M. Cuomo,62535,0.1405236689182812,Andrew M. Cuomo,0.0,198.93,0.0,0.0,198.93,10583.92,0.018795493541145437,0.12172817537713576
2025-07-14,Curtis A. Sliwa,75503,0.1696643251672981,Curtis A. Sliwa,3276.04,0.0,0.0,3276.04,3276.04,10583.92,0.30952992841971594,-0.13986560325241784
2025-07-14,Eric L. Adams,35222,0.0791480717460574,,0.0,0.0,0.0,0.0,0.0,,,
2025-07-14,Zohran Kwame Mamdani,271754,0.6106639341683633,Zohran Kwame Mamdani,0.0,0.0,7108.95,7108.95,7108.95,10583.92,0.6716745780391385,-0.06101064387077526
2025-07-21,Andrew M. Cuomo,28678,0.1166189531214418,Andrew M. Cuomo,0.0,66.99,0.0,0.0,66.99,6822.379999999999,0.00981915401956502,0.10679979910187679
2025-07-21,Curtis A. Sliwa,35191,0.1431040372165652,Curtis A. Sliwa,1000.0,0.0,0.0,1000.0,1000.0,6822.379999999999,0.14657641468226631,-0.0034723774657011153
2025-07-21,Eric L. Adams,23530,0.0956846351540388,,0.0,0.0,0.0,0.0,0.0,,,
2025-07-21,Zohran Kwame Mamdani,158513,0.644592374507954,Zohran Kwame Mamdani,0.0,0.0,5755.389999999999,5755.389999999999,5755.389999999999,6822.379999999999,0.8436044312981686,-0.1990120567902146
2025-07-28,Andrew M. Cuomo,25407,0.1055550708561315,Andrew M. Cuomo,161.85,0.0,0.0,161.85,161.85,23632.75,0.006848547037479768,0.09870652381865173
2025-07-28,Curtis A. Sliwa,37306,0.1549902575415768,Curtis A. Sliwa,1700.0,0.0,0.0,1700.0,1700.0,23632.75,0.07193407453639547,0.08305618300518133
2025-07-28,Eric L. Adams,32525,0.135127275144475,,0.0,0.0,0.0,0.0,0.0,,,
2025-07-28,Zohran Kwame Mamdani,145461,0.6043273964578166,Zohran Kwame Mamdani,0.0,0.0,21770.9,21770.9,21770.9,23632.75,0.9212173784261248,-0.3168899819683082
2025-08-04,Andrew M. Cuomo,45672,0.2057946199252016,Andrew M. Cuomo,35000.0,0.0,0.0,35000.0,35000.0,48473.14,0.7220493658962469,-0.5162547459710454
2025-08-04,Curtis A. Sliwa,26579,0.1197629883296535,,0.0,0.0,0.0,0.0,0.0,,,
2025-08-04,Eric L. Adams,20175,0.090907042761231,,0.0,0.0,0.0,0.0,0.0,,,
2025-08-04,Zohran Kwame Mamdani,129504,0.5835353489839138,Zohran Kwame Mamdani,0.0,0.0,13473.140000000001,13473.140000000001,13473.140000000001,48473.14,0.27795063410375315,0.30558471488016065
2025-08-11,Andrew M. Cuomo,36216,0.148424404617976,Andrew M. Cuomo,1388.16,0.0,0.0,1388.16,1388.16,49544.850000000006,0.028018250130941964,0.12040615448703405
2025-08-11,Curtis A. Sliwa,34618,0.1418753048118261,Curtis A. Sliwa,11250.0,0.0,0.0,11250.0,11250.0,49544.850000000006,0.22706699081741086,-0.08519168600558477
2025-08-11,Eric L. Adams,23061,0.0945111330598394,Eric L. Adams,0.0,0.0,35325.0,35325.0,35325.0,49544.850000000006,0.7129903511666701,-0.6184792181068307
2025-08-11,Zohran Kwame Mamdani,150108,0.6151891575103585,Zohran Kwame Mamdani,0.0,0.0,1581.69,1581.69,1581.69,49544.850000000006,0.03192440788497694,0.5832647496253816
2025-08-18,Andrew M. Cuomo,29844,0.1634974114553373,Andrew M. Cuomo,82000.0,0.0,0.0,82000.0,82000.0,211882.0,0.3870078628670675,-0.2235104514117302
2025-08-18,Curtis A. Sliwa,25864,0.1416933738735037,Curtis A. Sliwa,6359.0,0.0,0.0,6359.0,6359.0,211882.0,0.03001198780453271,0.11168138606897099
2025-08-18,Eric L. Adams,25174,0.1379132769057988,Eric L. Adams,0.0,0.0,105000.0,105000.0,105000.0,211882.0,0.4955588487931962,-0.35764557188739743
2025-08-18,Zohran Kwame Mamdani,101653,0.5568959377653601,Zohran Kwame Mamdani,0.0,0.0,18523.0,18523.0,18523.0,211882.0,0.08742130053520356,0.4694746372301565
2025-08-25,Andrew M. Cuomo,25304,0.1459032462665052,Andrew M. Cuomo,35161.85,0.0,0.0,35161.85,35161.85,95154.31,0.3695245123421104,-0.22362126607560523
2025-08-25,Curtis A. Sliwa,29924,0.1725422360606584,Curtis A. Sliwa,8992.46,0.0,0.0,8992.46,8992.46,95154.31,0.094503969394555,0.0780382666661034
2025-08-25,Eric L. Adams,21003,0.121103615291472,Eric L. Adams,0.0,0.0,46000.0,46000.0,46000.0,95154.31,0.4834252909826155,-0.3623216756911435
2025-08-25,Zohran Kwame Mamdani,97199,0.5604509023813642,Zohran Kwame Mamdani,0.0,0.0,5000.0,5000.0,5000.0,95154.31,0.05254622728071908,0.5079046751006451
2025-09-01,Andrew M. Cuomo,35531,0.147910248938473,,0.0,0.0,0.0,0.0,0.0,,,
2025-09-01,Curtis A. Sliwa,42604,0.1773540920822579,Curtis A. Sliwa,7050.0,0.0,0.0,7050.0,7050.0,279189.38,0.02525167683670489,0.152102415245553
2025-09-01,Eric L. Adams,34228,0.1424860544500874,,0.0,0.0,0.0,0.0,0.0,,,
2025-09-01,Zohran Kwame Mamdani,127857,0.5322496045291816,Zohran Kwame Mamdani,250000.0,7000.0,15139.38,265139.38,272139.38,279189.38,0.9747483231632951,-0.4424987186341135
2025-09-08,Andrew M. Cuomo,30494,0.1201019294922036,,0.0,0.0,0.0,0.0,0.0,,,
2025-09-08,Curtis A. Sliwa,37703,0.1484948858019464,Curtis A. Sliwa,250000.0,0.0,0.0,250000.0,250000.0,296044.63,0.844467268330454,-0.6959723825285077
2025-09-08,Eric L. Adams,22287,0.087778307293,Eric L. Adams,0.0,0.0,4156.25,4156.25,4156.25,296044.63,0.0140392683359938,0.0737390389570062
