AD,ED,County,Candidate,Tally
36,070,Queens,Curtis A. Sliwa,0
36,070,Queens,Eric L. Adams,0
36,070,Queens,Irene Estrada,0
36,070,Queens,Jim Walden,0
36,070,Queens,Joseph Hernandez,0
36,070,Queens,Zohran Kwame Mamdani,0
37,001,Queens,Andrew M. Cuomo,236
37,001,Queens,Curtis A. Sliwa,29
37,001,Queens,Eric L. Adams,0
37,001,Queens,Irene Estrada,0
37,001,Queens,Jim Walden,1
37,001,Queens,Joseph Hernandez,1
37,001,Queens,Zohran Kwame Mamdani,812
37,002,Queens,Andrew M. Cuomo,318
37,002,Queens,Curtis A. Sliwa,28
37,002,Queens,Eric L. Adams,2
37,002,Queens,Irene Estrada,1
37,002,Queens,Jim Walden,3
37,002,Queens,Joseph Hernandez,0
37,002,Queens,Zohran Kwame Mamdani,746
37,003,Queens,Andrew M. Cuomo,348
37,003,Queens,Curtis A. Sliwa,48
37,003,Queens,Eric L. Adams,3
37,003,Queens,Irene Estrada,1
37,003,Queens,Jim Walden,4
37,003,Queens,Joseph Hernandez,0
37,003,Queens,Zohran Kwame Mamdani,705
37,004,Queens,Andrew M. Cuomo,252
37,004,Queens,Curtis A. Sliwa,32
37,004,Queens,Eric L. Adams,4
37,004,Queens,Irene Estrada,2
37,004,Queens,Jim Walden,2
37,004,Queens,Joseph Hernandez,0
37,004,Queens,Zohran Kwame Mamdani,387
37,005,Queens,Andrew M. Cuomo,195
37,005,Queens,Curtis A. Sliwa,14
37,005,Queens,Eric L. Adams,2
37,005,Queens,Irene Estrada,1
37,005,Queens,Jim Walden,0
37,005,Queens,Joseph Hernandez,0
37,005,Queens,Zohran Kwame Mamdani,415
37,006,Queens,Andrew M. Cuomo,380
37,006,Queens,Curtis A. Sliwa,27
37,006,Queens,Eric L. Adams,2
37,006,Queens,Irene Estrada,2
37,006,Queens,Jim Walden,2
37,006,Queens,Joseph Hernandez,0
37,006,Queens,Zohran Kwame Mamdani,625
37,007,Queens,Andrew M. Cuomo,241
37,007,Queens,Curtis A. Sliwa,29
37,007,Queens,Eric L. Adams,0
37,007,Queens,Irene Estrada,2
37,007,Queens,Jim Walden,2
37,007,Queens,Joseph Hernandez,0
37,007,Queens,Zohran Kwame Mamdani,589
37,008,Queens,Andrew M. Cuomo,152
37,008,Queens,Curtis A. Sliwa,17
37,008,Queens,Eric L. Adams,0
37,008,Queens,Irene Estrada,0
37,008,Queens,Jim Walden,2
37,008,Queens,Joseph Hernandez,0
37,008,Queens,Zohran Kwame Mamdani,610
37,009,Queens,Andrew M. Cuomo,119
37,009,Queens,Curtis A. Sliwa,5
37,009,Queens,Eric L. Adams,1
37,009,Queens,Irene Estrada,1
37,009,Queens,Jim Walden,4
37,009,Queens,Joseph Hernandez,0
37,009,Queens,Zohran Kwame Mamdani,322
37,010,Queens,Andrew M. Cuomo,2
37,010,Queens,Curtis A. Sliwa,0
37,010,Queens,Eric L. Adams,0
37,010,Queens,Irene Estrada,0
37,010,Queens,Jim Walden,0
37,010,Queens,Joseph Hernandez,0
37,010,Queens,Zohran Kwame Mamdani,2
37,011,Queens,Andrew M. Cuomo,109
37,011,Queens,Curtis A. Sliwa,48
37,011,Queens,Eric L. Adams,0
37,011,Queens,Irene Estrada,0
37,011,Queens,Jim Walden,1
37,011,Queens,Joseph Hernandez,0
37,011,Queens,Zohran Kwame Mamdani,75
37,012,Queens,Andrew M. Cuomo,130
37,012,Queens,Curtis A. Sliwa,46
37,012,Queens,Eric L. Adams,4
37,012,Queens,Irene Estrada,1
37,012,Queens,Jim Walden,0
37,012,Queens,Joseph Hernandez,0
37,012,Queens,Zohran Kwame Mamdani,539
37,013,Queens,Andrew M. Cuomo,22
37,013,Queens,Curtis A. Sliwa,8
37,013,Queens,Eric L. Adams,0
37,013,Queens,Irene Estrada,0
37,013,Queens,Jim Walden,0
37,013,Queens,Joseph Hernandez,0
37,013,Queens,Zohran Kwame Mamdani,59
37,014,Queens,Andrew M. Cuomo,237
37,014,Queens,Curtis A. Sliwa,57
37,014,Queens,Eric L. Adams,1
37,014,Queens,Irene Estrada,1
37,014,Queens,Jim Walden,0
37,014,Queens,Joseph Hernandez,0
37,014,Queens,Zohran Kwame Mamdani,448
37,015,Queens,Andrew M. Cuomo,61
37,015,Queens,Curtis A. Sliwa,11
37,015,Queens,Eric L. Adams,0
37,015,Queens,Irene Estrada,1
37,015,Queens,Jim Walden,0
37,015,Queens,Joseph Hernandez,0
37,015,Queens,Zohran Kwame Mamdani,107
37,016,Queens,Andrew M. Cuomo,102
37,016,Queens,Curtis A. Sliwa,32
37,016,Queens,Eric L. Adams,2
37,016,Queens,Irene Estrada,0
37,016,Queens,Jim Walden,1
37,016,Queens,Joseph Hernandez,0
37,016,Queens,Zohran Kwame Mamdani,256
37,017,Queens,Andrew M. Cuomo,150
37,017,Queens,Curtis A. Sliwa,38
37,017,Queens,Eric L. Adams,1
37,017,Queens,Irene Estrada,0
37,017,Queens,Jim Walden,1
37,017,Queens,Joseph Hernandez,1
37,017,Queens,Zohran Kwame Mamdani,286
37,018,Queens,Andrew M. Cuomo,200
37,018,Queens,Curtis A. Sliwa,30
37,018,Queens,Eric L. Adams,0
37,018,Queens,Irene Estrada,0
37,018,Queens,Jim Walden,1
37,018,Queens,Joseph Hernandez,2
37,018,Queens,Zohran Kwame Mamdani,324
37,019,Queens,Andrew M. Cuomo,173
37,019,Queens,Curtis A. Sliwa,43
37,019,Queens,Eric L. Adams,6
37,019,Queens,Irene Estrada,1
37,019,Queens,Jim Walden,1
37,019,Queens,Joseph Hernandez,0
37,019,Queens,Zohran Kwame Mamdani,489
37,020,Queens,Andrew M. Cuomo,177
37,020,Queens,Curtis A. Sliwa,44
37,020,Queens,Eric L. Adams,1
37,020,Queens,Irene Estrada,2
37,020,Queens,Jim Walden,0
37,020,Queens,Joseph Hernandez,0
37,020,Queens,Zohran Kwame Mamdani,504
37,021,Queens,Andrew M. Cuomo,234
37,021,Queens,Curtis A. Sliwa,49
37,021,Queens,Eric L. Adams,1
37,021,Queens,Irene Estrada,0
37,021,Queens,Jim Walden,1
37,021,Queens,Joseph Hernandez,1
37,021,Queens,Zohran Kwame Mamdani,499
37,022,Queens,Andrew M. Cuomo,237
37,022,Queens,Curtis A. Sliwa,59
37,022,Queens,Eric L. Adams,1
37,022,Queens,Irene Estrada,2
37,022,Queens,Jim Walden,1
37,022,Queens,Joseph Hernandez,2
37,022,Queens,Zohran Kwame Mamdani,578
37,023,Queens,Andrew M. Cuomo,140
37,023,Queens,Curtis A. Sliwa,34
37,023,Queens,Eric L. Adams,0
37,023,Queens,Irene Estrada,0
37,023,Queens,Jim Walden,1
37,023,Queens,Joseph Hernandez,0
37,023,Queens,Zohran Kwame Mamdani,436
37,024,Queens,Andrew M. Cuomo,226
37,024,Queens,Curtis A. Sliwa,44
37,024,Queens,Eric L. Adams,1
37,024,Queens,Irene Estrada,1
37,024,Queens,Jim Walden,2
37,024,Queens,Joseph Hernandez,0
37,024,Queens,Zohran Kwame Mamdani,564
37,025,Queens,Andrew M. Cuomo,151
37,025,Queens,Curtis A. Sliwa,34
37,025,Queens,Eric L. Adams,0
37,025,Queens,Irene Estrada,1
37,025,Queens,Jim Walden,4
37,025,Queens,Joseph Hernandez,2
37,025,Queens,Zohran Kwame Mamdani,468
37,026,Queens,Andrew M. Cuomo,153
37,026,Queens,Curtis A. Sliwa,33
37,026,Queens,Eric L. Adams,1
37,026,Queens,Irene Estrada,1
37,026,Queens,Jim Walden,1
37,026,Queens,Joseph Hernandez,1
37,026,Queens,Zohran Kwame Mamdani,456
37,027,Queens,Andrew M. Cuomo,252
37,027,Queens,Curtis A. Sliwa,66
37,027,Queens,Eric L. Adams,2
37,027,Queens,Irene Estrada,1
37,027,Queens,Jim Walden,1
37,027,Queens,Joseph Hernandez,1
37,027,Queens,Zohran Kwame Mamdani,646
37,028,Queens,Andrew M. Cuomo,218
37,028,Queens,Curtis A. Sliwa,63
37,028,Queens,Eric L. Adams,3
37,028,Queens,Irene Estrada,1
37,028,Queens,Jim Walden,1
37,028,Queens,Joseph Hernandez,0
37,028,Queens,Zohran Kwame Mamdani,616
37,029,Queens,Andrew M. Cuomo,155
37,029,Queens,Curtis A. Sliwa,41
37,029,Queens,Eric L. Adams,2
37,029,Queens,Irene Estrada,0
37,029,Queens,Jim Walden,0
37,029,Queens,Joseph Hernandez,1
37,029,Queens,Zohran Kwame Mamdani,468
37,030,Queens,Andrew M. Cuomo,237
37,030,Queens,Curtis A. Sliwa,58
37,030,Queens,Eric L. Adams,0
37,030,Queens,Irene Estrada,1
37,030,Queens,Jim Walden,0
37,030,Queens,Joseph Hernandez,1
37,030,Queens,Zohran Kwame Mamdani,545
37,031,Queens,Andrew M. Cuomo,252
37,031,Queens,Curtis A. Sliwa,73
37,031,Queens,Eric L. Adams,0
37,031,Queens,Irene Estrada,1
37,031,Queens,Jim Walden,3
37,031,Queens,Joseph Hernandez,0
37,031,Queens,Zohran Kwame Mamdani,541
37,032,Queens,Andrew M. Cuomo,77
37,032,Queens,Curtis A. Sliwa,20
37,032,Queens,Eric L. Adams,0
37,032,Queens,Irene Estrada,1
37,032,Queens,Jim Walden,0
37,032,Queens,Joseph Hernandez,0
37,032,Queens,Zohran Kwame Mamdani,212
37,033,Queens,Andrew M. Cuomo,141
37,033,Queens,Curtis A. Sliwa,49
37,033,Queens,Eric L. Adams,0
37,033,Queens,Irene Estrada,0
37,033,Queens,Jim Walden,1
37,033,Queens,Joseph Hernandez,0
37,033,Queens,Zohran Kwame Mamdani,347
37,035,Queens,Andrew M. Cuomo,278
37,035,Queens,Curtis A. Sliwa,42
37,035,Queens,Eric L. Adams,2
37,035,Queens,Irene Estrada,0
37,035,Queens,Jim Walden,1
37,035,Queens,Joseph Hernandez,0
37,035,Queens,Zohran Kwame Mamdani,616
37,036,Queens,Andrew M. Cuomo,362
37,036,Queens,Curtis A. Sliwa,101
37,036,Queens,Eric L. Adams,3
37,036,Queens,Irene Estrada,2
37,036,Queens,Jim Walden,1
37,036,Queens,Joseph Hernandez,1
37,036,Queens,Zohran Kwame Mamdani,508
37,037,Queens,Andrew M. Cuomo,99
37,037,Queens,Curtis A. Sliwa,38
37,037,Queens,Eric L. Adams,0
37,037,Queens,Irene Estrada,0
37,037,Queens,Jim Walden,1
37,037,Queens,Joseph Hernandez,0
37,037,Queens,Zohran Kwame Mamdani,233
37,038,Queens,Andrew M. Cuomo,0
37,038,Queens,Curtis A. Sliwa,0
37,038,Queens,Eric L. Adams,0
37,038,Queens,Irene Estrada,0
37,038,Queens,Jim Walden,0
37,038,Queens,Joseph Hernandez,0
37,038,Queens,Zohran Kwame Mamdani,3
37,039,Queens,Andrew M. Cuomo,360
37,039,Queens,Curtis A. Sliwa,180
37,039,Queens,Eric L. Adams,1
37,039,Queens,Irene Estrada,0
37,039,Queens,Jim Walden,0
37,039,Queens,Joseph Hernandez,0
37,039,Queens,Zohran Kwame Mamdani,108
37,040,Queens,Andrew M. Cuomo,380
37,040,Queens,Curtis A. Sliwa,191
37,040,Queens,Eric L. Adams,4
37,040,Queens,Irene Estrada,1
37,040,Queens,Jim Walden,0
37,040,Queens,Joseph Hernandez,0
37,040,Queens,Zohran Kwame Mamdani,171
37,041,Queens,Andrew M. Cuomo,11
37,041,Queens,Curtis A. Sliwa,7
37,041,Queens,Eric L. Adams,0
37,041,Queens,Irene Estrada,0
37,041,Queens,Jim Walden,0
37,041,Queens,Joseph Hernandez,0
37,041,Queens,Zohran Kwame Mamdani,20
37,042,Queens,Andrew M. Cuomo,161
37,042,Queens,Curtis A. Sliwa,21
37,042,Queens,Eric L. Adams,0
37,042,Queens,Irene Estrada,0
37,042,Queens,Jim Walden,3
37,042,Queens,Joseph Hernandez,1
37,042,Queens,Zohran Kwame Mamdani,371
37,043,Queens,Andrew M. Cuomo,171
37,043,Queens,Curtis A. Sliwa,43
37,043,Queens,Eric L. Adams,1
37,043,Queens,Irene Estrada,1
37,043,Queens,Jim Walden,0
37,043,Queens,Joseph Hernandez,1
37,043,Queens,Zohran Kwame Mamdani,218
37,044,Queens,Andrew M. Cuomo,138
37,044,Queens,Curtis A. Sliwa,60
37,044,Queens,Eric L. Adams,1
37,044,Queens,Irene Estrada,0
37,044,Queens,Jim Walden,0
37,044,Queens,Joseph Hernandez,0
37,044,Queens,Zohran Kwame Mamdani,374
37,045,Queens,Andrew M. Cuomo,88
37,045,Queens,Curtis A. Sliwa,48
37,045,Queens,Eric L. Adams,0
37,045,Queens,Irene Estrada,2
37,045,Queens,Jim Walden,0
37,045,Queens,Joseph Hernandez,0
37,045,Queens,Zohran Kwame Mamdani,157
37,046,Queens,Andrew M. Cuomo,52
37,046,Queens,Curtis A. Sliwa,26
37,046,Queens,Eric L. Adams,0
37,046,Queens,Irene Estrada,0
37,046,Queens,Jim Walden,0
37,046,Queens,Joseph Hernandez,0
37,046,Queens,Zohran Kwame Mamdani,31
37,047,Queens,Andrew M. Cuomo,309
37,047,Queens,Curtis A. Sliwa,222
37,047,Queens,Eric L. Adams,0
37,047,Queens,Irene Estrada,5
37,047,Queens,Jim Walden,0
37,047,Queens,Joseph Hernandez,0
37,047,Queens,Zohran Kwame Mamdani,235
37,048,Queens,Andrew M. Cuomo,243
37,048,Queens,Curtis A. Sliwa,159
37,048,Queens,Eric L. Adams,2
37,048,Queens,Irene Estrada,0
37,048,Queens,Jim Walden,0
37,048,Queens,Joseph Hernandez,0
37,048,Queens,Zohran Kwame Mamdani,209
37,049,Queens,Andrew M. Cuomo,231
37,049,Queens,Curtis A. Sliwa,140
37,049,Queens,Eric L. Adams,2
37,049,Queens,Irene Estrada,1
37,049,Queens,Jim Walden,1
37,049,Queens,Joseph Hernandez,0
37,049,Queens,Zohran Kwame Mamdani,160
37,050,Queens,Andrew M. Cuomo,290
37,050,Queens,Curtis A. Sliwa,178
37,050,Queens,Eric L. Adams,0
37,050,Queens,Irene Estrada,1
37,050,Queens,Jim Walden,0
37,050,Queens,Joseph Hernandez,0
37,050,Queens,Zohran Kwame Mamdani,204
37,051,Queens,Andrew M. Cuomo,263
37,051,Queens,Curtis A. Sliwa,190
37,051,Queens,Eric L. Adams,3
37,051,Queens,Irene Estrada,1
37,051,Queens,Jim Walden,0
37,051,Queens,Joseph Hernandez,0
37,051,Queens,Zohran Kwame Mamdani,207
37,052,Queens,Andrew M. Cuomo,238
37,052,Queens,Curtis A. Sliwa,113
37,052,Queens,Eric L. Adams,2
37,052,Queens,Irene Estrada,2
37,052,Queens,Jim Walden,0
37,052,Queens,Joseph Hernandez,0
37,052,Queens,Zohran Kwame Mamdani,406
37,053,Queens,Andrew M. Cuomo,222
37,053,Queens,Curtis A. Sliwa,104
37,053,Queens,Eric L. Adams,0
37,053,Queens,Irene Estrada,0
37,053,Queens,Jim Walden,0
37,053,Queens,Joseph Hernandez,1
37,053,Queens,Zohran Kwame Mamdani,444
37,054,Queens,Andrew M. Cuomo,128
37,054,Queens,Curtis A. Sliwa,63
37,054,Queens,Eric L. Adams,0
37,054,Queens,Irene Estrada,0
37,054,Queens,Jim Walden,0
37,054,Queens,Joseph Hernandez,0
37,054,Queens,Zohran Kwame Mamdani,463
37,055,Queens,Andrew M. Cuomo,152
37,055,Queens,Curtis A. Sliwa,47
37,055,Queens,Eric L. Adams,1
37,055,Queens,Irene Estrada,1
37,055,Queens,Jim Walden,3
37,055,Queens,Joseph Hernandez,0
37,055,Queens,Zohran Kwame Mamdani,390
37,056,Queens,Andrew M. Cuomo,130
37,056,Queens,Curtis A. Sliwa,45
37,056,Queens,Eric L. Adams,0
37,056,Queens,Irene Estrada,0
37,056,Queens,Jim Walden,0
37,056,Queens,Joseph Hernandez,1
37,056,Queens,Zohran Kwame Mamdani,351
37,057,Queens,Andrew M. Cuomo,148
37,057,Queens,Curtis A. Sliwa,82
37,057,Queens,Eric L. Adams,1
37,057,Queens,Irene Estrada,0
37,057,Queens,Jim Walden,0
37,057,Queens,Joseph Hernandez,0
37,057,Queens,Zohran Kwame Mamdani,550
37,058,Queens,Andrew M. Cuomo,97
37,058,Queens,Curtis A. Sliwa,40
37,058,Queens,Eric L. Adams,1
37,058,Queens,Irene Estrada,1
37,058,Queens,Jim Walden,0
37,058,Queens,Joseph Hernandez,1
37,058,Queens,Zohran Kwame Mamdani,230
37,059,Queens,Andrew M. Cuomo,59
37,059,Queens,Curtis A. Sliwa,34
37,059,Queens,Eric L. Adams,0
37,059,Queens,Irene Estrada,0
37,059,Queens,Jim Walden,0
37,059,Queens,Joseph Hernandez,0
37,059,Queens,Zohran Kwame Mamdani,363
37,060,Queens,Andrew M. Cuomo,57
37,060,Queens,Curtis A. Sliwa,16
37,060,Queens,Eric L. Adams,0
37,060,Queens,Irene Estrada,0
37,060,Queens,Jim Walden,0
37,060,Queens,Joseph Hernandez,0
37,060,Queens,Zohran Kwame Mamdani,254
37,061,Queens,Andrew M. Cuomo,86
37,061,Queens,Curtis A. Sliwa,31
37,061,Queens,Eric L. Adams,0
37,061,Queens,Irene Estrada,0
37,061,Queens,Jim Walden,0
37,061,Queens,Joseph Hernandez,1
37,061,Queens,Zohran Kwame Mamdani,413
37,062,Queens,Andrew M. Cuomo,79
37,062,Queens,Curtis A. Sliwa,56
37,062,Queens,Eric L. Adams,1
37,062,Queens,Irene Estrada,0
37,062,Queens,Jim Walden,0
37,062,Queens,Joseph Hernandez,0
37,062,Queens,Zohran Kwame Mamdani,208
37,063,Queens,Andrew M. Cuomo,119
37,063,Queens,Curtis A. Sliwa,67
37,063,Queens,Eric L. Adams,0
37,063,Queens,Irene Estrada,0
37,063,Queens,Jim Walden,0
37,063,Queens,Joseph Hernandez,0
37,063,Queens,Zohran Kwame Mamdani,537
37,064,Queens,Andrew M. Cuomo,156
37,064,Queens,Curtis A. Sliwa,69
37,064,Queens,Eric L. Adams,0
37,064,Queens,Irene Estrada,0
37,064,Queens,Jim Walden,0
37,064,Queens,Joseph Hernandez,0
37,064,Queens,Zohran Kwame Mamdani,627
37,065,Queens,Andrew M. Cuomo,86
37,065,Queens,Curtis A. Sliwa,42
37,065,Queens,Eric L. Adams,0
37,065,Queens,Irene Estrada,2
37,065,Queens,Jim Walden,0
37,065,Queens,Joseph Hernandez,0
37,065,Queens,Zohran Kwame Mamdani,493
37,066,Queens,Andrew M. Cuomo,0
37,066,Queens,Curtis A. Sliwa,0
37,066,Queens,Eric L. Adams,0
37,066,Queens,Irene Estrada,0
37,066,Queens,Jim Walden,0
37,066,Queens,Joseph Hernandez,0
37,066,Queens,Zohran Kwame Mamdani,0
37,067,Queens,Andrew M. Cuomo,0
37,067,Queens,Curtis A. Sliwa,0
37,067,Queens,Eric L. Adams,0
37,067,Queens,Irene Estrada,0
37,067,Queens,Jim Walden,0
37,067,Queens,Joseph Hernandez,0
37,067,Queens,Zohran Kwame Mamdani,0
37,068,Queens,Andrew M. Cuomo,0
37,068,Queens,Curtis A. Sliwa,0
37,068,Queens,Eric L. Adams,0
37,068,Queens,Irene Estrada,0
37,068,Queens,Jim Walden,0
37,068,Queens,Joseph Hernandez,0
37,068,Queens,Zohran Kwame Mamdani,0
37,069,Queens,Andrew M. Cuomo,0
37,069,Queens,Curtis A. Sliwa,0
37,069,Queens,Eric L. Adams,0
37,069,Queens,Irene Estrada,0
37,069,Queens,Jim Walden,0
37,069,Queens,Joseph Hernandez,0
37,069,Queens,Zohran Kwame Mamdani,0
37,070,Queens,Andrew M. Cuomo,0
37,070,Queens,Curtis A. Sliwa,0
37,070,Queens,Eric L. Adams,0
37,070,Queens,Irene Estrada,0
37,070,Queens,Jim Walden,0
37,070,Queens,Joseph Hernandez,0
37,070,Queens,Zohran Kwame Mamdani,0
38,001,Queens,Andrew M. Cuomo,113
38,001,Queens,Curtis A. Sliwa,31
38,001,Queens,Eric L. Adams,1
38,001,Queens,Irene Estrada,2
38,001,Queens,Jim Walden,0
38,001,Queens,Joseph Hernandez,1
38,001,Queens,Zohran Kwame Mamdani,547
38,002,Queens,Andrew M. Cuomo,137
38,002,Queens,Curtis A. Sliwa,30
38,002,Queens,Eric L. Adams,1
38,002,Queens,Irene Estrada,2
38,002,Queens,Jim Walden,1
38,002,Queens,Joseph Hernandez,2
38,002,Queens,Zohran Kwame Mamdani,716
38,003,Queens,Andrew M. Cuomo,95
38,003,Queens,Curtis A. Sliwa,26
38,003,Queens,Eric L. Adams,0
38,003,Queens,Irene Estrada,0
38,003,Queens,Jim Walden,0
38,003,Queens,Joseph Hernandez,0
38,003,Queens,Zohran Kwame Mamdani,632
38,004,Queens,Andrew M. Cuomo,121
38,004,Queens,Curtis A. Sliwa,31
38,004,Queens,Eric L. Adams,0
38,004,Queens,Irene Estrada,1
38,004,Queens,Jim Walden,0
38,004,Queens,Joseph Hernandez,2
38,004,Queens,Zohran Kwame Mamdani,685
38,005,Queens,Andrew M. Cuomo,49
38,005,Queens,Curtis A. Sliwa,15
38,005,Queens,Eric L. Adams,0
38,005,Queens,Irene Estrada,1
38,005,Queens,Jim Walden,0
38,005,Queens,Joseph Hernandez,0
38,005,Queens,Zohran Kwame Mamdani,203
38,006,Queens,Andrew M. Cuomo,169
38,006,Queens,Curtis A. Sliwa,59
38,006,Queens,Eric L. Adams,2
38,006,Queens,Irene Estrada,0
38,006,Queens,Jim Walden,0
38,006,Queens,Joseph Hernandez,1
38,006,Queens,Zohran Kwame Mamdani,539
38,007,Queens,Andrew M. Cuomo,99
38,007,Queens,Curtis A. Sliwa,23
38,007,Queens,Eric L. Adams,0
38,007,Queens,Irene Estrada,1
38,007,Queens,Jim Walden,0
38,007,Queens,Joseph Hernandez,0
38,007,Queens,Zohran Kwame Mamdani,367
38,008,Queens,Andrew M. Cuomo,2
38,008,Queens,Curtis A. Sliwa,1
38,008,Queens,Eric L. Adams,0
38,008,Queens,Irene Estrada,0
38,008,Queens,Jim Walden,0
38,008,Queens,Joseph Hernandez,0
38,008,Queens,Zohran Kwame Mamdani,2
38,009,Queens,Andrew M. Cuomo,307
38,009,Queens,Curtis A. Sliwa,134
38,009,Queens,Eric L. Adams,0
38,009,Queens,Irene Estrada,0
38,009,Queens,Jim Walden,0
38,009,Queens,Joseph Hernandez,0
38,009,Queens,Zohran Kwame Mamdani,252
38,010,Queens,Andrew M. Cuomo,253
38,010,Queens,Curtis A. Sliwa,107
38,010,Queens,Eric L. Adams,0
38,010,Queens,Irene Estrada,0
38,010,Queens,Jim Walden,1
38,010,Queens,Joseph Hernandez,0
38,010,Queens,Zohran Kwame Mamdani,262
38,011,Queens,Andrew M. Cuomo,240
38,011,Queens,Curtis A. Sliwa,124
38,011,Queens,Eric L. Adams,1
38,011,Queens,Irene Estrada,1
38,011,Queens,Jim Walden,0
38,011,Queens,Joseph Hernandez,1
38,011,Queens,Zohran Kwame Mamdani,191
38,012,Queens,Andrew M. Cuomo,224
38,012,Queens,Curtis A. Sliwa,117
38,012,Queens,Eric L. Adams,1
38,012,Queens,Irene Estrada,1
38,012,Queens,Jim Walden,0
38,012,Queens,Joseph Hernandez,0
38,012,Queens,Zohran Kwame Mamdani,285
38,013,Queens,Andrew M. Cuomo,101
38,013,Queens,Curtis A. Sliwa,36
38,013,Queens,Eric L. Adams,1
38,013,Queens,Irene Estrada,0
38,013,Queens,Jim Walden,0
38,013,Queens,Joseph Hernandez,1
38,013,Queens,Zohran Kwame Mamdani,67
38,014,Queens,Andrew M. Cuomo,398
38,014,Queens,Curtis A. Sliwa,196
38,014,Queens,Eric L. Adams,2
38,014,Queens,Irene Estrada,1
38,014,Queens,Jim Walden,1
38,014,Queens,Joseph Hernandez,0
38,014,Queens,Zohran Kwame Mamdani,230
38,015,Queens,Andrew M. Cuomo,370
38,015,Queens,Curtis A. Sliwa,200
38,015,Queens,Eric L. Adams,2
38,015,Queens,Irene Estrada,1
38,015,Queens,Jim Walden,0
38,015,Queens,Joseph Hernandez,0
38,015,Queens,Zohran Kwame Mamdani,242
38,016,Queens,Andrew M. Cuomo,18
38,016,Queens,Curtis A. Sliwa,20
38,016,Queens,Eric L. Adams,0
38,016,Queens,Irene Estrada,0
38,016,Queens,Jim Walden,0
38,016,Queens,Joseph Hernandez,0
38,016,Queens,Zohran Kwame Mamdani,33
38,017,Queens,Andrew M. Cuomo,379
38,017,Queens,Curtis A. Sliwa,153
38,017,Queens,Eric L. Adams,4
38,017,Queens,Irene Estrada,1
38,017,Queens,Jim Walden,0
38,017,Queens,Joseph Hernandez,0
38,017,Queens,Zohran Kwame Mamdani,214
38,018,Queens,Andrew M. Cuomo,129
38,018,Queens,Curtis A. Sliwa,47
38,018,Queens,Eric L. Adams,0
38,018,Queens,Irene Estrada,0
38,018,Queens,Jim Walden,0
38,018,Queens,Joseph Hernandez,1
38,018,Queens,Zohran Kwame Mamdani,172
38,019,Queens,Andrew M. Cuomo,186
38,019,Queens,Curtis A. Sliwa,48
38,019,Queens,Eric L. Adams,4
38,019,Queens,Irene Estrada,5
38,019,Queens,Jim Walden,1
38,019,Queens,Joseph Hernandez,0
38,019,Queens,Zohran Kwame Mamdani,254
38,020,Queens,Andrew M. Cuomo,247
38,020,Queens,Curtis A. Sliwa,90
38,020,Queens,Eric L. Adams,2
38,020,Queens,Irene Estrada,0
38,020,Queens,Jim Walden,1
38,020,Queens,Joseph Hernandez,1
38,020,Queens,Zohran Kwame Mamdani,330
38,021,Queens,Andrew M. Cuomo,180
38,021,Queens,Curtis A. Sliwa,61
38,021,Queens,Eric L. Adams,0
38,021,Queens,Irene Estrada,0
38,021,Queens,Jim Walden,2
38,021,Queens,Joseph Hernandez,0
38,021,Queens,Zohran Kwame Mamdani,216
38,022,Queens,Andrew M. Cuomo,99
38,022,Queens,Curtis A. Sliwa,38
38,022,Queens,Eric L. Adams,1
38,022,Queens,Irene Estrada,1
38,022,Queens,Jim Walden,0
38,022,Queens,Joseph Hernandez,0
38,022,Queens,Zohran Kwame Mamdani,134
38,023,Queens,Andrew M. Cuomo,236
38,023,Queens,Curtis A. Sliwa,37
38,023,Queens,Eric L. Adams,2
38,023,Queens,Irene Estrada,2
38,023,Queens,Jim Walden,0
38,023,Queens,Joseph Hernandez,0
38,023,Queens,Zohran Kwame Mamdani,286
38,024,Queens,Andrew M. Cuomo,206
38,024,Queens,Curtis A. Sliwa,64
38,024,Queens,Eric L. Adams,2
38,024,Queens,Irene Estrada,1
38,024,Queens,Jim Walden,0
38,024,Queens,Joseph Hernandez,1
38,024,Queens,Zohran Kwame Mamdani,215
38,025,Queens,Andrew M. Cuomo,89
38,025,Queens,Curtis A. Sliwa,12
38,025,Queens,Eric L. Adams,1
38,025,Queens,Irene Estrada,0
38,025,Queens,Jim Walden,0
38,025,Queens,Joseph Hernandez,0
38,025,Queens,Zohran Kwame Mamdani,123
38,026,Queens,Andrew M. Cuomo,213
38,026,Queens,Curtis A. Sliwa,45
38,026,Queens,Eric L. Adams,1
38,026,Queens,Irene Estrada,3
38,026,Queens,Jim Walden,0
38,026,Queens,Joseph Hernandez,0
38,026,Queens,Zohran Kwame Mamdani,271
38,027,Queens,Andrew M. Cuomo,90
38,027,Queens,Curtis A. Sliwa,36
38,027,Queens,Eric L. Adams,2
38,027,Queens,Irene Estrada,0
38,027,Queens,Jim Walden,1
38,027,Queens,Joseph Hernandez,0
38,027,Queens,Zohran Kwame Mamdani,89
38,028,Queens,Andrew M. Cuomo,213
38,028,Queens,Curtis A. Sliwa,38
38,028,Queens,Eric L. Adams,1
38,028,Queens,Irene Estrada,3
38,028,Queens,Jim Walden,0
38,028,Queens,Joseph Hernandez,0
38,028,Queens,Zohran Kwame Mamdani,292
38,029,Queens,Andrew M. Cuomo,141
38,029,Queens,Curtis A. Sliwa,29
38,029,Queens,Eric L. Adams,3
38,029,Queens,Irene Estrada,5
