AD,ED,County,Candidate,Tally
23,020,Queens,Jim Walden,0
23,020,Queens,Joseph Hernandez,0
23,020,Queens,Zohran Kwame Mamdani,131
23,021,Queens,Andrew M. Cuomo,251
23,021,Queens,Curtis A. Sliwa,17
23,021,Queens,Eric L. Adams,3
23,021,Queens,Irene Estrada,2
23,021,Queens,Jim Walden,1
23,021,Queens,Joseph Hernandez,1
23,021,Queens,Zohran Kwame Mamdani,115
23,022,Queens,Andrew M. Cuomo,70
23,022,Queens,Curtis A. Sliwa,10
23,022,Queens,Eric L. Adams,0
23,022,Queens,Irene Estrada,0
23,022,Queens,Jim Walden,0
23,022,Queens,Joseph Hernandez,0
23,022,Queens,Zohran Kwame Mamdani,91
23,023,Queens,Andrew M. Cuomo,204
23,023,Queens,Curtis A. Sliwa,29
23,023,Queens,Eric L. Adams,6
23,023,Queens,Irene Estrada,0
23,023,Queens,Jim Walden,2
23,023,Queens,Joseph Hernandez,2
23,023,Queens,Zohran Kwame Mamdani,73
23,024,Queens,Andrew M. Cuomo,100
23,024,Queens,Curtis A. Sliwa,14
23,024,Queens,Eric L. Adams,2
23,024,Queens,Irene Estrada,1
23,024,Queens,Jim Walden,0
23,024,Queens,Joseph Hernandez,0
23,024,Queens,Zohran Kwame Mamdani,118
23,025,Queens,Andrew M. Cuomo,402
23,025,Queens,Curtis A. Sliwa,27
23,025,Queens,Eric L. Adams,7
23,025,Queens,Irene Estrada,2
23,025,Queens,Jim Walden,0
23,025,Queens,Joseph Hernandez,1
23,025,Queens,Zohran Kwame Mamdani,164
23,026,Queens,Andrew M. Cuomo,206
23,026,Queens,Curtis A. Sliwa,19
23,026,Queens,Eric L. Adams,6
23,026,Queens,Irene Estrada,3
23,026,Queens,Jim Walden,0
23,026,Queens,Joseph Hernandez,0
23,026,Queens,Zohran Kwame Mamdani,102
23,027,Queens,Andrew M. Cuomo,719
23,027,Queens,Curtis A. Sliwa,18
23,027,Queens,Eric L. Adams,3
23,027,Queens,Irene Estrada,0
23,027,Queens,Jim Walden,1
23,027,Queens,Joseph Hernandez,0
23,027,Queens,Zohran Kwame Mamdani,60
23,028,Queens,Andrew M. Cuomo,376
