ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION,MEDIA_TYPE
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6904,LED TRUCK,2025-08-25,BILLBD,Billboard,15000,1545,"Adams, Eric L",1,,15000.0,Support,billboard
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6898,MEDIA DISTRIBUTION,2025-08-25,PRINT,Print Ad,14000,1545,"Adams, Eric L",1,,14000.0,Support,print
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6894,PRODUCTION,2025-08-25,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0,Support,digital_video
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6895,PRODUCTION,2025-08-25,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0,Support,digital_video
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6896,PRODUCTION,2025-08-25,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0,Support,digital_video
2025,Z230,Empower NYC,OTHR,1325,"Avenue of the Americas, 28th flo",,New york,NY,10019,34,6897,PRODUCTION,2025-08-25,INTVID,Video (Internet),3750,1545,"Adams, Eric L",1,,3750.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5748,1/2 Page Ad,2025-06-09,PRINT,Print Ad,12540,2993,"Cuomo, Andrew M",1,,12540.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,15,4205,Ad 2,2025-04-08,TVADS,Video (TV/Cable),2279181,2993,"Cuomo, Andrew M",1,,2279181.3,Support,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7410,Additional Social Media Post,2025-10-31,INTAD,Internet - Display/Banner,60000,2993,"Cuomo, Andrew M",1,,60000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,18,5252,Allegory Ad 3,2025-05-04,TVADS,Video (TV/Cable),756994,2993,"Cuomo, Andrew M",1,,756994.33,Support,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6445,AMNY News Ad 6.19,2025-06-20,PRINT,Print Ad,5075,2993,"Cuomo, Andrew M",1,,5075.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6031,Amsterdam News Ad,2025-06-12,PRINT,Print Ad,5075,2993,"Cuomo, Andrew M",1,,5075.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6310,Applecart Digital Ad,2025-06-18,INTVID,Video (Internet),35000,2993,"Cuomo, Andrew M",1,,35000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,35,6916,Banner Digital Ads,2025-09-03,INTAD,Internet - Display/Banner,6500,2899,"Mamdani, Zohran K",1,,6500.0,Oppose,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7177,Banner Digital Ads NYC Voice,2025-10-20,INTAD,Internet - Display/Banner,3500,2899,"Mamdani, Zohran K",1,,3500.0,Oppose,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7382,Caribbean Life Full page,2025-10-30,PRINT,Print Ad,3571,2993,"Cuomo, Andrew M",1,,3571.42,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5307,Challenge Ad 4,2025-05-13,TVADS,Video (TV/Cable),82203,2993,"Cuomo, Andrew M",1,,82202.82,Support,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5302,Challenge Ad 4 Revised,2025-05-16,TVADS,Video (TV/Cable),3076723,2993,"Cuomo, Andrew M",1,,3076723.27,Support,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7308,Crisis Video,2025-10-28,TVADS,Video (TV/Cable),1700000,2899,"Mamdani, Zohran K",1,,1700000.0,Oppose,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6668,CTV Ads Record,2025-06-20,TVADS,Video (TV/Cable),160000,2993,"Cuomo, Andrew M",1,,160000.0,Support,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7412,Cuomo Early Voting Banners,2025-10-31,INTAD,Internet - Display/Banner,2500,2993,"Cuomo, Andrew M",1,,2500.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7383,Cuomo V Mamdani Policy Video Ad,2025-10-28,INTVID,Video (Internet),5667,2993,"Cuomo, Andrew M",1,,5666.67,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,11,4156,Digital Ad,2025-03-12,INTVID,Video (Internet),132008,2993,"Cuomo, Andrew M",1,,132007.78,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5304,Digital Ad 15sec Chaos,2025-05-16,INTVID,Video (Internet),117269,2993,"Cuomo, Andrew M",1,,117268.55,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,20,5303,Digital Ad 15sec WIN,2025-05-13,INTVID,Video (Internet),197028,2993,"Cuomo, Andrew M",1,,197028.23,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6528,Digital Ad Meta,2025-06-21,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_video
